Algorithm,Energy Consumption (J),Std. Dev. Energy Consumption (J),Time (ms),Std. Dev. Time (ms)
ML-DSA,0.002492,0.000312,5.065,0.312
SLH-DSA,0.067369,0.003142,123.863,3.142
Falcon,0.097062,0.002562,124.920,2.562
MiRitH,0.008186,0.000512,22.576,1.234
MQOM,0.031823,0.002498,64.669,2.498
PERK,0.002782,0.000512,7.675,0.512
MIRA,0.006408,0.000498,17.675,1.567
SDitH,0.010181,0.002347,28.080,2.347
MAYO,0.030942,0.003492,70.277,3.492
QR-UOV,0.312139,0.021478,523.987,10.378
SNOVA,0.019831,0.001824,40.299,3.271
UOV,0.284233,0.018952,438.970,9.481
LESS,0.454444,0.032178,797.551,22.743
CROSS,0.000484,0.000032,1.337,0.146
SQISign,0.767761,0.045678,1235.138,25.847
HAWK,0.044498,0.002987,81.813,4.431
FAEST,0.000249,0.000021,0.688,0.022